id,key,value,type
272629,highway,motorway_junction,highwa
272629,ref,31,re
31908886,created_by,JOSM,created_b
49130366,highway,traffic_signals,highwa
49132310,highway,motorway_junction,highwa
49132310,ref,28B,re
49132926,highway,traffic_signals,highwa
49132984,highway,traffic_signals,highwa
49133445,highway,traffic_signals,highwa
49134552,highway,turning_circle,highwa
49135094,highway,crossing,highwa
49135583,name,MARC (outbound),nam
49135583,public_transport,stop_position,public_transpor
49135583,rail,yes,rai
49135583,railway,stop,railwa
49136633,highway,turning_circle,highwa
49138917,highway,turning_circle,highwa
49139836,highway,motorway_junction,highwa
49139836,ref,29,re
49141175,highway,traffic_signals,highwa
49141561,highway,traffic_signals,highwa
49141561,traffic_signals,signal,traffic_signal
49142414,ref,I 495 East,destination
49142414,highway,motorway_junction,highwa
49142633,highway,turning_circle,highwa
49142633,source,survey; Bing,sourc
49143204,highway,motorway_junction,highwa
49143204,ref,36,re
49143730,highway,traffic_signals,highwa
49144345,highway,turning_circle,highwa
49145247,highway,traffic_signals,highwa
49145248,highway,traffic_signals,highwa
49145250,highway,traffic_signals,highwa
49145250,traffic_signals,signal,traffic_signal
49145365,name,Georgetown Junction,nam
49145365,old_name,Metropolitan Southern Junction,old_nam
49145365,place,locality,plac
49145478,highway,turning_circle,highwa
49146399,highway,traffic_signals,highwa
49146923,crossing,uncontrolled,crossin
49146923,highway,crossing,highwa
49147201,highway,traffic_signals,highwa
49147232,traffic_calming,bump,traffic_calmin
49148164,highway,traffic_signals,highwa
49149008,highway,turning_circle,highwa
49149185,highway,turning_circle,highwa
49150133,highway,turning_circle,highwa
49150436,highway,motorway_junction,highwa
49150436,ref,30A,re
49151552,highway,traffic_signals,highwa
49152515,highway,turning_circle,highwa
49152672,highway,traffic_signals,highwa
49152687,highway,traffic_signals,highwa
49152850,highway,turning_circle,highwa
49152857,highway,traffic_signals,highwa
49153487,crossing,zebra,crossin
49153487,highway,crossing,highwa
49153899,highway,stop,highwa
49154886,source,Garmin Forerunner 305,sourc
49154967,highway,turning_circle,highwa
49155360,highway,turning_circle,highwa
49155634,source,Garmin Forerunner 305,sourc
49155645,highway,traffic_signals,highwa
49155645,traffic_signals,signal,traffic_signal
49155648,highway,traffic_signals,highwa
49155689,source,Garmin Forerunner 305,sourc
49156325,highway,turning_circle,highwa
49156339,highway,traffic_signals,highwa
49156339,source,survey,sourc
49158020,highway,traffic_signals,highwa
